Parameter Statistic AtlanticCroaker Bluefish RedSnapper Sheepshead    Spot
h         Mean                 0.66     0.63       0.76       0.71    0.56
h         SD                   0.18    0.183       0.16       0.19    0.20
h         Median               0.69     0.64       0.79       0.75    0.56
h         Mode                 0.85     0.76       0.89       0.91    0.57
h         Skewness            -0.48    -0.30      -0.94      -0.71    0.03
h         Kurtosis             2.41     2.22       3.40       2.62    1.95
h         Min                  0.20     0.20       0.20       0.20    0.20
h         Max                  0.99     0.98       0.99       0.99    0.98
h         5%                   0.33     0.30       0.44       0.33    0.24
h         95%                  0.91     0.90       0.95       0.95    0.88
